Row.names,Control-1,Control-2,Control-3,S7-1,S7-2,S7-3
AT1G03990,43.13806193,48.27291315,53.97380869,23.54084869,23.07348149,20.05303802
AT1G05340,155.9606854,159.5104956,170.5572355,84.07445962,89.82176722,67.67900333
AT1G08310,175.8705602,116.4846383,148.967712,66.1385749,47.7950688,89.40312786
AT1G10520,37.60754117,48.27291315,59.37118956,17.93588472,19.77726985,27.57292728
AT1G14660,94.01885293,70.31054742,109.0270936,35.87176944,55.21154499,43.44824905
AT1G17960,81.85170726,81.85407013,46.41747547,25.78283428,23.8975344,17.54640827
AT1G28715,80.7456031,91.29877053,88.51704625,43.718719,28.84185186,45.95487881
AT1G45229,53.0929993,41.97644622,47.49695165,17.93588472,25.54564022,19.21749477
AT1G53540,39.81974948,75.5576032,57.21223721,23.54084869,19.77726985,21.72412453
AT1G66725,42.03195778,60.86584702,43.17904695,11.20992795,22.24942858,16.71086502
AT5G01080,56.41131176,83.95289244,71.24542747,22.4198559,40.3785926,39.2705328
AT5G01670,138.263019,181.5481299,130.616617,66.1385749,62.62802118,69.35008983
AT5G03830,118.3531443,125.9293387,173.795664,70.62254608,67.57233864,70.18563309
AT5G05430,55.3052076,37.7788016,48.57642782,19.05687751,19.77726985,27.57292728
AT5G07100,49.77468684,71.35995858,53.97380869,30.26680546,20.60132276,28.40847053
AT5G14130,28.75870795,45.12467969,45.3379993,21.2988631,10.71268783,16.71086502
AT5G14330,381.6059325,593.966714,469.5721356,280.2481987,210.1334921,216.405702
AT5G18040,176.9766643,163.7081403,140.3319026,65.01758211,76.63692065,87.73204136
AT5G24140,79.63949895,71.35995858,75.56333217,33.62978385,26.36969313,32.58618679
AT5G36925,35.39533287,66.1129028,31.30480904,7.846949564,25.54564022,19.21749477
AT5G37990,90.70054047,91.29877053,127.3781885,24.66184149,31.31401059,27.57292728
AT5G43160,96.23106123,38.82821276,66.92752277,35.87176944,33.78616932,30.07955704
AT5G47990,315.2396833,433.4068072,368.1013753,206.2626743,156.5700529,157.0821312
AT5G48010,214.5842055,163.7081403,185.6699019,90.80041639,99.71040214,79.37660885
AT5G57240,77.42729065,74.50819204,77.72228451,32.50879105,34.61022223,28.40847053
AT5G58200,578.4924715,672.6725507,561.3276104,272.4012492,304.0755239,317.5064354
AT5G63560,107.2921028,90.24935938,146.8087596,25.78283428,43.67480424,23.39521103
AT5G66610,54.19910345,50.37173547,39.94061843,24.66184149,17.30511112,28.40847053
AT5G66620,71.89676989,33.58115698,42.09957078,15.69389913,18.95321694,14.20423527
AT3G05685,53.0929993,68.21172511,60.45066573,28.02481987,33.78616932,23.39521103
AT3G06390,147.1118522,154.2634399,114.4244744,78.46949564,30.48995768,66.84346008
AT3G17700,111.7165194,131.1763944,125.2192362,63.89658931,54.38749208,60.99465732
AT3G22460,44.24416608,72.40936973,55.05328486,13.45191354,18.95321694,28.40847053
AT3G44540,66.36624913,65.06349164,82.04018921,32.50879105,32.96211641,30.91510029
AT3G48260,56.41131176,96.54582631,48.57642782,33.62978385,36.25832805,29.24401379
AT3G50845,42.03195778,82.90348129,62.60961808,20.17787031,41.20264551,26.73738403
AT3G58550,193.5682266,258.1551443,177.0340925,57.17063254,48.61912171,40.10607605
AT3G59320,124.9897692,123.8305164,115.5039506,48.20269018,47.7950688,55.98139782
AT2G04050,460.1393273,377.788016,439.3468027,173.7538832,187.8840635,189.668318
AT2G18370,233.3879761,231.9198654,242.8821391,128.9141714,89.82176722,96.08747387
AT2G21430,43.13806193,60.86584702,52.89433252,26.90382708,23.07348149,28.40847053
AT2G25240,68.57845743,91.29877053,55.05328486,32.50879105,39.55453969,20.88858128
AT2G25590,118.3531443,114.385816,106.8681412,47.08169739,51.09128044,63.50128708
AT2G26290,60.83572837,52.47055778,44.25852313,20.17787031,19.77726985,34.25727329
AT2G38390,460.1393273,495.3220654,469.5721356,153.5760129,220.8461799,169.61528
AT2G42640,130.5202899,68.21172511,97.15285564,52.68666136,46.97101588,38.43498955
AT2G45135,61.94183252,86.05171475,58.29171338,36.99276223,36.25832805,29.24401379
AT4G01593,67.47235328,81.85407013,63.68909425,24.66184149,29.66590477,30.07955704
AT4G03205,384.9242449,401.9244726,424.2341363,195.0527463,191.1802752,184.6550585
AT4G13880,38.71364532,39.87762391,62.60961808,28.02481987,22.24942858,10.86206226
AT4G17680,216.7964138,252.9080885,220.2131395,142.366085,112.0711958,90.23867111
AT4G24890,67.47235328,65.06349164,79.88123686,28.02481987,34.61022223,32.58618679
AT4G25200,24.33429135,43.02585738,34.54323756,16.81489192,2.472158731,15.87532177
AT4G36270,67.47235328,73.45878089,87.43757008,33.62978385,24.72158731,26.73738403
AT4G36280,111.7165194,68.21172511,120.9013315,20.17787031,42.02669842,49.29705181
ATMG00160,68.57845743,103.8917044,64.76857043,44.8397118,32.96211641,37.5994463
ATMG01360,49.77468684,66.1129028,55.05328486,16.81489192,15.65700529,22.55966778
ATCG00400,228.9635595,112.2869936,188.9083304,85.19545241,93.94203177,64.33683033
AT1G02390,14.37935398,17.83998964,8.63580939,29.14581267,36.25832805,35.92835979
AT1G03840,109.5043111,74.50819204,74.48385599,153.5760129,159.0422117,203.03701
AT1G04610,29.86481211,44.07526853,44.25852313,88.5584308,65.10017991,86.89649811
AT1G05280,28.75870795,22.03763427,22.66899965,58.29162534,60.97991536,46.79042206
AT1G17285,22.12208304,19.93881196,11.87423791,78.46949564,59.33180954,86.06095486
AT1G49860,86.27612386,74.50819204,87.43757008,235.4084869,243.9196614,259.8539511
AT1G53470,92.91274878,143.7693283,145.7292835,294.8211051,324.6768466,314.1642624
AT1G54000,929.1274878,920.3335834,1021.18446,2008.819088,1910.978699,1828.168633
AT1G54890,27.6526038,57.71761355,17.27161878,117.7042435,78.28502647,76.03443584
AT1G56680,66.36624913,47.223502,85.27861773,183.8428184,201.0689101,140.3712662
AT1G59940,18.80377059,23.08704542,25.90742817,50.44467577,44.49885715,49.29705181
AT1G74500,108.3982069,96.54582631,148.967712,348.6287592,360.1111218,336.7239302
AT1G76470,7.742729065,17.83998964,16.19214261,51.56566857,32.96211641,61.83020058
AT1G76952,22.12208304,38.82821276,21.58952348,53.80765416,60.97991536,60.15911407
AT5G05640,67.47235328,49.32232431,53.97380869,130.0351642,83.22934394,134.5224634
AT5G09980,38.71364532,72.40936973,55.05328486,137.8821138,124.4319894,81.04769535
AT5G10130,56.41131176,67.16231395,47.49695165,197.2947319,152.4497884,181.3128855
AT5G10230,23.22818719,35.67997929,17.27161878,62.77559652,65.92423282,50.96813831
AT5G10510,97.33716538,70.31054742,102.5502365,179.3588472,172.2270582,202.2014667
AT5G13910,106.1859986,64.01408049,91.75547477,233.1665013,153.2738413,142.8778959
AT5G14150,14.37935398,25.18586773,28.06638052,58.29162534,49.44317462,53.47476807
AT5G17430,37.60754117,27.28469004,42.09957078,86.31644521,59.33180954,73.52780609
AT5G19520,162.5973104,161.609318,205.100473,363.2016656,399.6656615,439.49575
AT5G19875,32.07702041,53.51996893,62.60961808,99.76835875,103.0066138,135.3580067
AT5G33355,112.8226235,123.8305164,88.51704625,542.5605127,648.5296404,601.5911407
AT5G45095,75.21508234,57.71761355,106.8681412,218.593595,175.5232699,161.2598474
